0,Date,Serial,Model,Service,Status,Location,Part,Event,Notes
1,10/11/2018,5CG6255SP1,840 G3,Part Replacement,Complete,MIC,823956-001,XC31329349,SSD not detected
2,10/11/2018,5CG8112MYD,840 G3,Labor Only,Complete,MIC,,,Connected power button ribbon
3,10/11/2018,5CG8264MWS,840 G5,Labor Only,Complete,MIC,,,Reseated fan cable
4,10/11/2018,5CG8263PSP,840 G5,Part Replacement,Complete,MIC,L14383-001,XC31329744,Dead pixels on display
5,10/11/2018,5CG8264MTY,840 G5,Labor Only,Complete,MIC,,,Loud Fan
6,10/11/2018,5CG826449B,840 G5,Part Replacement,Complete,MIC,L15518-001,XC31330249,1 blink
7,10/11/2018,2UA81322SG,600 G3 SFF,Labor Only,Complete,MIC,,,Reseated RAM
8,10/11/2018,2UA81323PD,600 G3 SFF,Part Replacement,Complete,MIC,911988-601,XC31330756,5 beep; main board
9,10/18/2018,5CG8242HV2,840 G5,Part Replacement,Complete,MIC,L17251-001,XC31364307,SSD not detected
10,10/18/2018,5CG822552H,840 G5,Part Replacement,Complete,MIC,862398-850,XC31364412,RAM slot 2 Failure ID: QAMB08-000993-MFGJ3G-402C03
11,10/18/2018,5CG8263W81,840 G5,Part Replacement,Complete,MIC,L14383-001,XC31364586,Bad LCD controller causing flashing vertical bars
12,10/18/2018,2UA8381WC1,600 G3 SFF,Part Replacement,Complete,MIC,915545-001,XC31364448,No power on
13,10/18/2018,2UA8131L36,600 G3 SFF,Part Replacement,Complete,MIC,915545-001,XC31364702,Powers on instantly
14,10/18/2018,CND8297K4V,Zbook 15 G3,Part Replacement,Complete,MIC,848221-601,XC31403740,1 blink with full RAM. Trying BIOS recovery. then Main board.
15,10/18/2018,2UA81322VM,600 G3 SFF,Labor Only,Complete,MIC,,,Won’t build. Passed full diagnostic. Re-seated components.
16,10/18/2018,CND81299GQ,Zbook 15 G3,Labor Only,Complete,MIC,,,Won’t run final touch. Re-seated components. Sent for re-image.
17,10/25/2018,2UA8131L36,600 G3 SFF,Part Replacement,Complete,MIC,911988-601,XC31402799,Powers on instantly
18,10/25/2018,5CG6094RPB,840 G2,Labor Only,Complete,MIC,BIOS PW,,BIOS PASS RESET: UUID: FF19CAB7AFE1E5118217C48E5905E0FF
19,10/25/2018,5CG6125F04,840 G2,Labor Only,Complete,MIC,BIOS PW,,BIOS PASS RESET: UUID: 7F2B5EAE0AF2E511911AB263560180FF
20,10/25/2018,5CG6321NJ6,840 G3,Part Replacement,Complete,MIC,826806-001,XC31402955,AC grommet missing
21,10/25/2018,CND8297K9H,Zbook 15 G3,Labor Only,Complete,MIC,,,No power on. It just powered on no problem.
22,10/25/2018,2UA8361D7Y,Z8,Labor Only,Complete,MIC,,,AMT network port not working. Won’t build. Tested good.
23,10/25/2018,5CG8264V4J,840 G5,Part Replacement,Complete,MIC,L14377-001,XC31403367,Left and right Shift keys not responsive.
24,10/25/2018,5CG82416JL,840 G5,Part Replacement,Complete,MIC,862398-850,XC31403399,RAM blink code.
25,10/25/2018,5CG82425JN,840 G5,Part Replacement,Complete,MIC,L15518-001,XC31403782,Extremely slow to do anything.
26,10/25/2018,CND7374T9L,Zbook 15 G3,Labor Only,Complete,MIC,,,Won’t partition disk 0. bad keyboard. Drives and keyboard passed diagnostic. Reseated drives and reset power.
27,10/30/2018,2UA8381WCR,600 G3 SFF,Part Replacement,Complete,MIC,911988-601,XC31425454,Does not POST
28,10/30/2018,5CG82638GX,840 G3,Part Replacement,Complete,MIC,826806-001,XC31425657,No audio device
29,11/1/2018,5CG82644B9,840 G5,Labor Only,Complete,MIC,L14370-001,LC31435100,LCD fully dark
30,11/1/2018,5CG82644B9,840 G5,Labor Only,Complete,MIC,L14370-001,LC31435100,LCD fully dark
31,11/1/2018,CND836BG1N,Zbook 15 G3,Labor Only,Complete,MIC,,,Keyboard non responsive or incorrect keys
32,11/1/2018,5CG8263VGY,840 G5,Labor Only,Complete,MIC,,,Bluescreens; wont build
33,11/8/2018,5CG82425JN,840 G5,Part Replacement,Complete,MIC,L17251-001,XC31471244,Follow up on XC31403782. Unit still hangs. Removal of SSD resolves.
34,11/8/2018,5CG81748CG,X360 1020 G2,Part Replacement,Complete,MIC,L02470-001,XC31472392,Vertical bars on screen
35,11/8/2018,5CG8263TPN,840 G5,Part Replacement,Complete,MIC,L14377-001,XC31472404,'E’ key popped out of keyboard
36,11/8/2018,CND8297K9P,Zbook 15 G3,Part Replacement,Complete,MIC,848221-601,XC31472477,Unit is slow to respond to input. Odd behavior.  Replacement board damaged
37,11/8/2018,5CG8242MS8,840 G5,Part Replacement,Complete,MIC,L15518-001,XC31472468,USB-C port not working
38,11/13/2018,5CG8164M7G,840 G5,Part Replacement,Complete,MIC,L14383-001,XC31493368,Dead pixels in a line
39,11/13/2018,5CG8264LLN,840 G5`,Part Replacement,Complete,MIC,L14383-001,XC31508783,Screen Flicker
40,11/13/2018,5CG82641MT,840 G5,Part Replacement,Complete,MIC,L14383-001,XC31508412,Screen Flicker
41,11/13/2018,5CG8263Y89,840 G5,Part Replacement,Complete,MIC,L14383-001,XC31508756,Screen Flicker
42,11/13/2018,5CG8263W8J,840 G5,Labor Only,Complete,MIC,,,Sometimes boots to black screen
43,11/15/2018,CND8297K4F,Zbook 15 G3,Labor Only,Complete,MIC,,,Backlight dim. Reseated LCD cable.
